,Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ISR,Israel,162,108,92,174,227,297,168,326,108,60,45,135,359,888,472,515,214,1393,538,736,706,66,73,73,42,1742,29,12,22,78,89
IVO,Ivory Coast,0,1,0,0,0,0,0,0,0,0,0,126,2,997,482,255,137,10,3,4,1,38,510,5,0,0,0,0,0,0,0
JAM,Jamaica,1,0,0,0,0,5,0,0,0,0,0,0,116,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JOR,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
KEN,Kenya,3,7,1,159,130,34,60,161,112,163,136,176,182,32,7,8,198,164,204,702,134,74,72,247,41,18,93,104,156,294,195
KYR,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
LAO,Laos,30,255,0,0,3,0,0,0,2,0,2,7,0,4,5,4,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,Liberia,45,3737,588,454,2590,4185,2327,3123,13,13,70,101,481,2260,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LEB,Lebanon,1028,1838,23,30,26,48,36,19,16,31,31,29,0,0,0,0,0,0,0,38,0,0,0,54,140,165,197,21,260,2,0
LES,Lesotho,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIB,Libya,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3914,79,33,1424,1435,2240,1095,634,1848
MAA,Mauritania,196,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,29,27,2,0,0,0,0,0,0,0
MAC,Macedonia,0,0,0,0,0,0,0,0,0,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,113,0,0,15,0,0,0,0,1,0,3
MAL,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
MEX,Mexico,3,4,0,16,34,153,21,43,58,7,0,0,0,26,0,217,204,669,610,1897,2263,3322,2802,1699,645,898,747,534,399,701,1191
MLD,Moldova,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,Mali,0,582,247,86,0,729,4,0,0,0,59,0,0,0,0,20,0,0,39,113,126,0,0,359,934,288,254,180,579,1153,1493
MOR,Morocco,207,0,19,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
MYA,Myanmar,1221,799,1365,1759,144,807,1501,594,791,586,358,764,409,565,256,177,450,452,700,119,222,192,808,971,358,256,710,183,2395,124,587
MZM,Mozambique,1584,1805,1914,521,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,2,42,30,3,60,2,172,569
NEP,Nepal,0,14,0,0,3,0,0,77,48,357,295,365,569,4432,1732,2456,1399,566,31,0,9,0,0,0,0,0,0,0,0,0,6
NIC,Nicaragua,526,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,Nigeria,0,89,380,943,1185,90,1,87,597,337,3619,2104,2417,612,443,2097,216,225,153,425,530,973,1826,2006,3338,11324,6521,3234,3422,2443,2190
NIR,Niger,0,200,40,29,6,50,67,14,103,147,0,0,0,0,0,0,0,0,98,56,0,0,0,0,0,0,171,274,229,74,298
PAK,Pakistan,114,391,129,86,55,149,111,59,133,69,911,0,6,38,286,114,34,208,1287,4279,6980,6753,3314,3297,2871,3515,2273,931,753,255,240
PAN,Panama,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAR,Paraguay,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PER,Peru,1945,1228,1353,1189,779,369,186,105,116,33,89,5,21,13,13,3,0,11,32,40,54,29,15,0,3,14,9,11,7,0,2
PHI,Philippines,984,1352,1548,445,318,308,188,199,322,138,219,1761,792,763,1119,470,487,434,483,566,1047,372,414,311,604,484,628,601,1641,424,342
PNG,Papua New Guinea,14,61,29,62,40,26,33,106,12,0,60,13,65,7,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,28
RUM,Romania,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,Russia,160,393,340,1,145,485,1914,2764,13,7,6197,4333,992,1509,539,1317,688,260,182,410,697,522,399,525,365,175,92,77,53,31,26
RWA,Rwanda,0,2644,1102,943,959,524630,4141,1415,4871,2182,366,228,2071,72,0,103,170,46,69,31,3019,278,131,270,4,18,60,185,44,35,206
SAF,South Africa,286,1460,737,762,908,508,143,156,30,44,19,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1
SAL,El Salvador,4925,848,88,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,Senegal,53,84,16,137,285,0,329,5,366,343,31,56,47,45,39,3,1,126,0,11,19,19,37,23,8,0,0,0,0,1,0
SIE,Sierra Leone,0,0,1215,530,726,2083,3194,943,1231,5167,4406,864,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOM,Somalia,1067,2760,8455,4729,483,626,461,765,277,330,542,185,478,638,405,680,340,1204,1582,1689,2197,2794,2127,3044,1131,1434,1413,1981,1934,2335,2014
SPN,Spain,17,19,44,23,12,11,13,4,12,7,0,20,13,5,3,191,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0
SRI,Sri Lanka,1288,4840,6646,4444,2084,712,4971,4097,2902,3830,1948,2569,1162,17,33,84,130,2173,2564,8453,10418,0,2,0,5,0,0,0,1,0,0
SSD,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,872,1635,2469,1013,1197,1179,926,441
SUD,Sudan,7373,4633,4570,4314,6046,960,1355,2513,4293,5897,2052,3523,3668,2432,4999,6652,1500,2642,1327,1136,2494,1719,3529,1738,2076,1872,2569,2044,609,561,309
SYR,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4268,46119,64653,66875,49778,42283,22413,15243,8970
TAJ,Tajikistan,0,0,0,3859,1395,366,368,2797,97,600,1,46,0,0,0,0,1,8,0,0,17,98,28,0,3,0,0,0,0,0,3
TAZ,Tanzania,0,0,0,1,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
THI,Thailand,0,0,0,0,0,0,0,0,3,4,0,0,0,0,26,310,491,541,517,312,258,211,287,244,249,100,84,69,50,61,60
TOG,Togo,0,0,63,5,48,0,0,0,0,9,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRI,Trinidad,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUN,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,72,3,7,11
TUR,Turkey,301,312,393,1800,2529,4191,3201,3604,4202,2021,1422,174,136,54,79,206,365,223,465,515,133,333,607,815,30,10,943,2583,1326,889,549
UCB,,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,Uganda,1054,804,1014,76,0,160,676,2081,1896,1362,1118,1290,301,2157,1627,2746,1097,354,229,901,1649,600,296,104,222,1129,326,182,276,414,354
UK,United Kingdom,44,50,38,39,47,16,0,2,5,31,0,1,1,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1
UKR,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4424,1314,252,409,243,234
USA,United States,0,0,0,0,0,0,0,0,0,0,0,0,1583,872,65,378,100,246,143,253,351,301,188,225,0,37,0,53,111,20,37
UZB,Uzbekistan,0,0,0,0,0,0,0,0,0,0,67,467,0,0,0,37,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0
VEN,Venezuela,61,64,30,223,63,164,26,33,33,10,26,25,27,20,25,31,30,22,0,0,0,0,1,0,0,0,0,0,19,0,6
YEM,Yemen,0,0,0,0,0,1489,0,0,0,0,0,0,0,0,6,28,0,0,0,0,94,201,1285,2345,582,2120,7044,3558,3046,4816,1909
YUG,Serbia,0,0,3295,309,0,0,0,2,9,1446,2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIM,Zimbabwe,0,0,0,0,0,4,0,0,1,4,0,0,0,0,0,0,0,0,253,0,0,1,1,0,0,0,0,0,4,8,
