Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031213136,0.110260452,0.152292189,0.386616226,0.592039173,1.499138744,0.935614434,1.058340088,0.62494863,0.449029825,,
"Bahamas, The",BHS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27E-05,0.001796119,,,,,,2.104436611,7.804787172,1.966124622,,
Bosnia and Herzegovina,BIH,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.506225268,3.542955808,2.833620557,3.272615758,2.618258873,2.405615872,2.495167787,2.987863358,2.734753975,5.443816725,5.255468472,5.27087754,
Belarus,BLR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.433074381,3.185407177,3.051862026,2.559142336,2.833507753,4.595599079,4.162469406,4.472981216,4.870628508,4.390912958,4.052910582,4.251962495,
Belize,BLZ,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.775579168,,,,,,8.17E-05,0.066546021,,
Bermuda,BMU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.34846455,12.60000423,28.60412471,27.16155607,48.78536566,21.78900133,17.05593452,6.940522366,
Bolivia,BOL,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.675422114,4.429846111,4.931366643,8.396434341,13.266852,9.223496449,9.364909815,8.057902215,6.402594397,4.456997954,5.884840838,5.051589732,,
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.46455704,14.48427599,12.34739222,10.8505661,11.52696283,10.6506586,11.72003132,13.62442879,14.77304529,13.86145718,13.44505539,13.27629703,
Barbados,BRB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.69191338,
Brunei Darussalam,BRN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.67890885,28.81604835,22.55317594,15.14408947,17.03421204,9.513763647,19.5657169,13.80353103,30.35127697,0.042430082,8.503808747,
