Fuel,Male_ag,Electricity,School_enroll,Low_income,Expense_Capita
2.053277462,39.36000061,87.40706635,1.026489973,6.2,26.7
0.008645825,68.22000122,25.6,0.876399994,6.45,25.3
84.95255705,38.22999954,42.33979034,0.979406245,6.45,25.1
20.90652607,38.77000046,56.5,0.979406245,6.45,24.3
0.072397122,51.25,20.56,0.979406245,6.45,24.2
1.873404523,38.86999893,62.84700394,1.115910053,9.1,22.6
0.5543297,49.52999878,27.2000885,0.979406245,6.45,21.8
4.195350875,53.54000092,40.79266357,0.979406245,6.45,21.7
7.42229639,30.44000053,99.8,0.996949971,9.9,20.2
0.000490474,8.369999886,97.38735199,1.044059992,6.45,18.1
49.5472815,46.20999908,54.94634247,0.979406245,6.45,17
19.66967537,76.81999969,7.487630844,0.727490008,6.45,16.4
13.07341005,48.27999878,55.71687698,1.012899995,6.825,16.3
19.66967537,62.59000015,26.2,0.979406245,6.45,15.9
4.517712727,43.40000153,86.53546143,0.966359973,4.58,15.8
0.016156398,45.97999954,15.43811321,0.98913002,6.45,15.5
4.52E-05,58.54999924,74.94395447,0.906245023,9.1,15.3
19.66967537,49.20999908,8.7647686,0.979406245,6.45,13.6
0.099620273,43.84999847,39.10566711,0.979406245,6.45,13.2
1.229212214,44.06000137,80.47660065,0.999298564,4.58,12.6
15.62432403,26.22999954,98.34130096,0.986819983,4.58,11.3
1.901357011,66.25,15.3,1.027899981,6.45,10.7
87.13263968,47.29999924,53.27933121,0.979406245,7.1,10.4
1.564277897,75.87000275,14.4,0.979406245,6.45,10.2
0.068473445,66.77999878,17.5,1.011590004,6.45,9.7
1.208263087,61.43999863,18.60691643,0.979406245,6.45,9.6
0.335665843,29.64999962,100,0.993879974,10.2,9.2
0.010728003,50.34999847,38.4,0.979406245,6.45,7.9
0.11429416,50.29000092,69.21807098,1.002220035,6.45,7.3
19.65359396,63.43000031,21.40014076,0.979406245,6.45,6.7
19.66967537,69.01000214,15.97435284,0.979406245,6.45,6.5
2.068497109,79.31999969,6.5,1.03429997,6.45,5.9
4.99442694,47.81000137,69.1,0.636020005,9.1,5.3
19.66967537,80.31999969,24.37812614,0.979406245,6.45,5.1
0.000103524,25.23999977,50.36622238,0.979406245,6.45,5
0.005977901,77.88999939,35.04212952,0.979406245,6.45,4.7
19.66967537,62.20000076,16.85102844,0.979406245,7.9,3.9
19.66967537,60.91999817,15.4,0.979406245,6.45,3.5
19.66967537,45.93000031,9.300168991,0.979406245,6.45,3.5
0.185685951,72.37999725,7.4,1.001119971,6.45,3.2
6.650837104,71.66999817,18.50801086,1.009379983,6.45,2.8
0.563620729,14.93000031,99.503298,1.041360021,4.3,0
15.62432403,45.47000122,37.9,0.999298564,4.58,0
1.028225961,8.659999847,100,0.994610012,8.053333333,0
0.281711492,21.70999908,92.00650787,0.999298564,3.6,0
